"ID1","ID2","Dist","DistM","BC_d110000_p0.5_beta0_Ajaponicus"
"59","119","703011.1317041841","703011.1317041841","0.011936267439298995"
"59","109","603669.9472393823","603669.9472393823","0.02228306332852891"
"59","69","26840.0","26840.0","0.8444008874237819"
"59","61","44406.09868024886","44406.09868024886","0.7567566347172289"
"59","60","10392.425126023281","10392.425126023281","0.9366119874524879"
"59","64","96082.26110994662","96082.26110994662","0.5458304931481243"
"59","86","548869.7098583593","548869.7098583593","0.03147336763798486"
"59","84","447349.0521952624","447349.0521952624","0.05967168947906322"
"59","82","571290.9241358553","571290.9241358553","0.02732653113639791"
"59","79","442808.8680232134","442808.8680232134","0.06140350571854484"
"59","77","473728.5430497086","473728.5430497086","0.050533253593147386"
"59","72","425456.2695507021","425456.2695507021","0.06875324559581097"
"59","88","146020.85467494017","146020.85467494017","0.39846852757454176"
"59","71","362669.61066513386","362669.61066513386","0.10174314774307472"
"59","74","199345.1772679739","199345.1772679739","0.28475066489335793"
"59","66","388505.4903086953","388505.4903086953","0.08645731878505254"
"59","62","162311.3751404992","162311.3751404992","0.35959429662861636"
"59","73","398294.2632024717","398294.2632024717","0.08128556927082074"
"59","65","501943.1872234145","501943.1872234145","0.0426112489169869"
"61","116","910189.8881002786","910189.8881002786","0.0032295446279823796"
"61","114","1158919.3149223104","1158919.3149223104","6.736887668497379E-4"
"61","107","1013817.6577669171","1013817.6577669171","0.0016809305550164852"
"61","108","832009.7800506908","832009.7800506908","0.005285569817239634"
"61","111","1032766.1879147663","1032766.1879147663","0.0014917448106320779"
"61","101","950724.2327825659","950724.2327825659","0.0025015750127116696"
"61","100","769256.633965544","769256.633965544","0.007849181161425347"
"61","102","986037.5916262009","986037.5916262009","0.0020025054637481257"
"61","97","852312.034703253","852312.034703253","0.004650845646422741"
"61","103","804331.4764448791","804331.4764448791","0.006292703438191352"
"61","92","709318.2482496833","709318.2482496833","0.011451276901708567"
"61","93","945414.5791661978","945414.5791661978","0.0025866884340461"
"61","96","679557.2518191529","679557.2518191529","0.013813347591134551"
"61","85","788986.4440533812","788986.4440533812","0.006931560814275088"
"61","83","832446.4631434259","832446.4631434259","0.005271045571683301"
"61","81","688281.630221234","688281.630221234","0.013074451833127198"
"61","80","770615.2669782758","770615.2669782758","0.007810079520851817"
"61","89","617442.1964848205","617442.1964848205","0.02043079456872042"
"61","70","804327.4423392499","804327.4423392499","0.0062928634024016295"
"61","67","781122.6521488156","781122.6521488156","0.007588377206991497"
"61","105","1105504.7341373072","1105504.7341373072","9.4326905676004E-4"
"61","68","703317.3718883955","703317.3718883955","0.011892581398937034"
"61","118","731351.4794543029","731351.4794543029","0.009966828274378316"
"61","115","831420.9032734252","831420.9032734252","0.005305219477126033"
"61","113","749089.9871177017","749089.9871177017","0.008912778860304735"
"61","112","595457.5942080166","595457.5942080166","0.02346654313103296"
"61","99","644373.1248275329","644373.1248275329","0.017241899139074535"
"61","95","434016.9144169379","434016.9144169379","0.0649013225200114"
"61","94","596181.5803930874","596181.5803930874","0.023359730673747418"
"61","91","553137.1451096006","553137.1451096006","0.030638309319295138"
"61","90","618940.783354918","618940.783354918","0.020238772552224452"
"61","87","647432.6139452656","647432.6139452656","0.016912678419307443"
"61","117","698346.5895957378","698346.5895957378","0.012270983044469455"
"61","119","670899.7212698763","670899.7212698763","0.014587855503559824"
"61","109","565071.8011899007","565071.8011899007","0.02897708608744893"
"61","69","7320.0","7320.0","0.9549218310097907"
"61","64","161707.9058054984","161707.9058054984","0.3609643162182638"
"61","86","582802.1499617168","582802.1499617168","0.0254145524732665"
"61","84","479873.30880139564","479873.30880139564","0.048613990536622"
"61","82","610784.7182109255","610784.7182109255","0.02130611927136848"
"61","79","478697.35752351885","478697.35752351885","0.04917446588677372"
"61","77","515092.9843241894","515092.9843241894","0.03893837548670586"
"61","72","466896.71159690095","466896.71159690095","0.05275619919548956"
"61","88","202300.0","202300.0","0.2794978500823041"
"61","71","400641.1887212793","400641.1887212793","0.08072233826586717"
"61","74","224613.11181674135","224613.11181674135","0.24283741395899386"
"61","66","433667.9005875346","433667.9005875346","0.06504421408998935"
"61","62","226820.64279954732","226820.64279954732","0.23948283452915475"
"61","73","452040.1200114872","452040.1200114872","0.057933609488573706"
"61","65","555999.5316544787","555999.5316544787","0.030310402787799385"
"58","116","917524.1228436435","917524.1228436435","0.003083686056821072"
"58","114","1152709.7174917879","1152709.7174917879","7.00571903373721E-4"
"58","107","1006950.5680518771","1006950.5680518771","0.0017552642146938446"
"58","108","823116.919094729","823116.919094729","0.00559021279796862"
"58","111","1020223.2792874305","1020223.2792874305","0.0016144325868525493"
"58","101","937629.1126026317","937629.1126026317","0.002716752727887744"
"58","100","761581.9338718578","761581.9338718578","0.008238102967992524"
"58","102","969036.3809475879","969036.3809475879","0.0022289475054349177"
"58","97","839228.3610555585","839228.3610555585","0.005050532647678461"
"58","103","791087.9094007183","791087.9094007183","0.006840377841593737"
"58","92","695867.056627916","695867.056627916","0.012464215123440033"
"58","93","924969.1895409267","924969.1895409267","0.0029423593849275302"
"58","96","662861.1353820644","662861.1353820644","0.015345821385051903"
"58","85","769890.7738763982","769890.7738763982","0.007817878965909734"
"58","83","811477.5595788212","811477.5595788212","0.006015628859638153"
"58","81","668561.7372389775","668561.7372389775","0.014804360938429196"
"58","80","748764.8250285261","748764.8250285261","0.00893105947577514"
"58","89","594944.2156202544","594944.2156202544","0.023542579662856476"
"58","70","778813.892274656","778813.892274656","0.007422672679344253"
"58","67","755027.0479923215","755027.0479923215","0.008944644596302032"
"58","105","1089762.2794444659","1089762.2794444659","0.0010416383508895625"
"58","68","677431.881520201","677431.881520201","0.013999589644786333"
"58","118","759464.7315708594","759464.7315708594","0.00834874561983935"
"58","115","835310.0583615632","835310.0583615632","0.0051767852846211545"
"58","113","754743.7416766027","754743.7416766027","0.008600839849855043"
"58","112","600299.6615857775","600299.6615857775","0.022761356484770547"
"58","99","637162.9748345389","637162.9748345389","0.018043328607424358"
"58","95","437046.83730694075","437046.83730694075","0.06367394377994731"
"58","94","589710.6803340086","589710.6803340086","0.024331917284170054"
"58","91","544763.3691796828","544763.3691796828","0.03229838267485661"
"58","90","606604.0069930296","606604.0069930296","0.02187486795049876"
"58","87","632662.3507843654","632662.3507843654","0.018562361654794354"
"58","117","729696.7942919837","729696.7942919837","0.010071293375035002"
"58","119","704969.2262787062","704969.2262787062","0.011769434815118999"
"58","109","603340.6099377023","603340.6099377023","0.022329354621306863"
"58","69","32576.629659926453","32576.629659926453","0.8144222160209341"
"58","61","29330.918840022725","29330.918840022725","0.831250543139938"
"58","60","22332.015135226826","22332.015135226826","0.8687311538905294"
"58","59","4760.0","4760.0","0.9704509982356329"
"58","64","115990.7604078875","115990.7604078875","0.48147691789896263"
"58","86","569882.8908644298","569882.8908644298","0.027570064384064848"
"58","84","467760.46947128786","467760.46947128786","0.05246983617449477"
"58","82","593838.0962013127","593838.0962013127","0.02392783958767992"
"58","79","464216.7124307349","464216.7124307349","0.053654689068305"
"58","77","496663.2243281151","496663.2243281151","0.043733413800587345"
"58","72","448332.1273341893","448332.1273341893","0.06000868381400316"
"58","88","171910.40951611975","171910.40951611975","0.33848835230546553"
"58","71","384536.6567701963","384536.6567701963","0.08864679064490018"
"58","74","216159.54108019368","216159.54108019368","0.25612380672960716"
"58","66","412315.1009846714","412315.1009846714","0.07441209256255785"
"58","62","179147.43090538552","179147.43090538552","0.32374785298998193"
"58","73","424220.3017301268","424220.3017301268","0.06903404365034453"
"58","65","528033.7751507944","528033.7751507944","0.03615129114255118"
"64","116","956741.0446406053","956741.0446406053","0.0024085058436789874"
"64","114","1152652.992708559","1152652.992708559","7.008223619782488E-4"
"64","107","1006619.1359695073","1006619.1359695073","0.0017589338542084055"
"64","108","819390.9045748545","819390.9045748545","0.0057230176699742345"
"64","111","1003056.6725763794","1003056.6725763794","0.001798865425169473"
"64","101","919768.1212131664","919768.1212131664","0.0030403889791818816"
"64","100","762423.2748283584","762423.2748283584","0.008194543626150644"
"64","102","939150.8888352278","939150.8888352278","0.002690825679721111"
"64","97","822863.1101222114","822863.1101222114","0.005599160580589091"
"64","103","775400.1209698117","775400.1209698117","0.007551128539819431"
"64","92","681298.3623200624","681298.3623200624","0.013662625178942608"
"64","93","885084.0525057486","885084.0525057486","0.0037830913816527395"
"64","96","639398.8066926614","639398.8066926614","0.017790903332998872"
"64","85","736848.7611443743","736848.7611443743","0.009627486422080389"
"64","83","772285.2001689525","772285.2001689525","0.00885171296880644"
