"ID1","ID2","Dist","DistM","BC_d10000_p0.01_beta0_Cvroliki","BC_d20000_p0.01_beta0_Cvroliki","BC_d50000_p0.01_beta0_Cvroliki","CF_beta0_Cvroliki","BC_d542300_p1.0E-10_beta0_Cvroliki"
"89","124","286246.3973572412","286246.3973572412","5.632750678434082E-58","2.373341669131118E-29","3.5493114140759713E-12","12.920132817115908","5.267721022976224E-6"
"89","114","171999.99999999977","171999.99999999977","3.981071705535432E-35","6.309573444802297E-18","1.3182567385564376E-7","16.75557162121333","6.734786086540675E-4"
"89","111","218185.70072303055","218185.70072303055","2.3060029333009444E-44","1.5185529076396857E-22","1.873147474422812E-9","10.21038612924677","9.476773626727002E-5"
"89","109","144779.1421441636","144779.1421441636","1.1070610500515555E-29","3.327252695620751E-15","1.6174628488239999E-6","19.026866216229852","0.0021393203508622664"
"89","106","127192.76708995634","127192.76708995634","3.64289439904564E-26","1.908636790760788E-13","8.171265398731775E-6","17.675817664298172","0.004514068960315863"
"89","107","98000.0","98000.0","2.5118864315095865E-20","1.5848931924611155E-10","1.2022644346174153E-4","26.106667829545025","0.015591294271792221"
"89","102","80280.7573457052","80280.7573457052","8.787159930887396E-17","9.373985241554093E-9","6.148507486455648E-4","28.76500570677922","0.03308450269521067"
"89","97","70213.95872616765","70213.95872616765","9.061670258588367E-15","9.519280570814356E-8","0.001553966495682597","19.350302761466057","0.050728982884877684"
"89","93","47381.43096192837","47381.43096192837","3.339748839504268E-10","1.827497972503463E-5","0.01272748991322189","27.88394811757735","0.13374805081587743"
"89","91","1000.0","1000.0","0.6309573444801932","0.7943282347242815","0.9120108393559098","244.75870520217035","0.9584291679173844"
"89","90","19209.372712298547","19209.372712298547","1.439214273625988E-4","0.011996725693396462","0.17046102340464547","68.32946678815165","0.4423638124012346"
"89","121","130230.56476879749","130230.56476879749","8.99263665543749E-27","9.482951363071251E-14","6.176997267897247E-6","24.164961959165577","0.003967813652372855"
"118","132","354983.0981891948","354983.0981891948","1.007813942260223E-71","3.1746085463568934E-36","6.319403297187622E-15","11.3634719292612","2.8452440541485286E-7"
