"ID1","ID2","Dist","DistM","BC_d654500_p1.0E-10_beta0_Clunulatus"
"19","54","642439.88045575","642439.88045575","1.6688116440732904E-10"
"19","51","620165.3005449423","620165.3005449423","3.34652704032721E-10"
"19","72","547179.1297189605","547179.1297189605","4.364629550389682E-9"
"19","49","600900.9901805778","600900.9901805778","6.590686155826922E-10"
"19","43","529253.2475101115","529253.2475101115","8.19643393170985E-9"
"19","46","466181.29520605993","466181.29520605993","7.538607550421774E-8"
"19","41","415600.76997041237","415600.76997041237","4.467905991289487E-7"
"19","38","526157.7710155002","526157.7710155002","9.140782888623781E-9"
"19","40","313453.34581082355","313453.34581082355","1.624788570748938E-5"
"19","42","408823.92297907406","408823.92297907406","5.670811087893926E-7"
"19","30","286565.8737533134","286565.8737533134","4.1841400875151245E-5"
"19","34","316734.9049283958","316734.9049283958","1.44763289333119E-5"
"19","28","612413.2591641037","612413.2591641037","4.395785875336776E-10"
"19","31","378714.9323699818","378714.9323699818","1.6355943213184133E-6"
"19","27","551588.6148208643","551588.6148208643","3.7356524607603744E-9"
"19","26","549859.0728541267","549859.0728541267","3.97001235758578E-9"
"19","23","202529.010267665","202529.010267665","8.046219937699949E-4"
"19","25","152315.46211727805","152315.46211727805","0.004707568107289624"
"19","39","413977.0525041211","413977.0525041211","4.7305487504276634E-7"
"18","21","21540.659228538017","21540.659228538017","0.46868789816070855"
"18","20","19235.384061671346","19235.384061671346","0.508283097077309"
"18","54","631596.390110012","631596.390110012","2.443899049522461E-10"
"18","51","609532.6078234032","609532.6078234032","4.864626896543997E-10"
"18","72","536553.8183630782","536553.8183630782","6.34292838758354E-9"
"18","49","590116.0902737689","590116.0902737689","9.63188699318526E-10"
"18","43","518453.4694647142","518453.4694647142","1.1984861248468904E-8"
"18","46","455247.18560360104","455247.18560360104","1.1075201418878363E-7"
"18","41","404605.98117180576","404605.98117180576","6.577965865170957E-7"
"18","38","516756.2287965183","516756.2287965183","1.2724128370618774E-8"
"18","40","302552.4747874321","302552.4747874321","2.3842374576044955E-5"
"18","42","399602.3022956698","399602.3022956698","7.844058728566444E-7"
"18","30","276305.98980116216","276305.98980116216","6.0029583432777714E-5"
"18","34","307039.0854598156","307039.0854598156","2.0361009447648566E-5"
"18","28","605990.9240244441","605990.9240244441","5.510136436705401E-10"
"18","31","372034.9445952623","372034.9445952623","2.0688930966872264E-6"
"18","27","545421.8550810004","545421.8550810004","4.64074166917037E-9"
"18","26","543948.5269765878","543948.5269765878","4.887627912600238E-9"
"18","23","195532.6059765991","195532.6059765991","0.0010291740635661108"
"18","19","8544.003745317532","8544.003745317532","0.7403848849550919"
"18","25","159765.45308670445","159765.45308670445","0.00362217473937302"
"18","39","415562.2697021468","415562.2697021468","4.473951217659615E-7"
"20","65","644920.1500961173","644920.1500961173","1.4007853194009923E-10"
"20","21","1000.0","1000.0","0.9654308250167103"
"20","54","610720.8855115392","610720.8855115392","5.093739516762199E-10"
"20","51","589185.8789889645","589185.8789889645","9.952310724845556E-10"
"20","72","516236.3799656113","516236.3799656113","1.2963332916412273E-8"
"20","49","569393.5370198708","569393.5370198708","1.9967694773179534E-9"
"20","43","496970.82409332576","496970.82409332576","2.551895501174403E-8"
"20","46","433557.3779789702","433557.3779789702","2.3754544533584181E-7"
"20","41","382800.2089863584","382800.2089863584","1.4166367168477488E-6"
"20","38","497784.0897417269","497784.0897417269","2.484828693350799E-8"
"20","40","280927.03679069364","280927.03679069364","5.102242406370719E-5"
"20","42","381030.1825315153","381030.1825315153","1.5076525271756548E-6"
"20","30","255837.8392654221","255837.8392654221","1.233374321724426E-4"
"20","34","287605.6327682056","287605.6327682056","4.0338514129889255E-5"
"20","28","592686.2576439575","592686.2576439575","8.799180074510542E-10"
"20","31","358468.96657869825","358468.96657869825","3.3343442953962495E-6"
"20","27","532658.4271369409","532658.4271369409","7.271060393588107E-9"
"20","26","531685.9975587092","531685.9975587092","7.524113647414802E-9"
"20","23","181892.8255869372","181892.8255869372","0.0016629869411918885"
"20","25","176264.00653565084","176264.00653565084","0.0020271724572731506"
"20","39","420830.1320010246","420830.1320010246","3.7171021634609134E-7"
"17","39","599053.4199885678","599053.4199885678","7.033303520665247E-10"
"17","44","633129.5286116407","633129.5286116407","2.121278238613012E-10"
"17","36","427113.56803548074","427113.56803548074","2.9798928047433095E-7"
"17","33","423562.27405187924","423562.27405187924","3.376449744065032E-7"
"17","32","422522.188766459","422522.188766459","3.5022858144413243E-7"
"17","24","252922.91315734875","252922.91315734875","1.3665690447807948E-4"
"17","29","163615.4026979119","163615.4026979119","0.0031633455550936673"
"17","22","139488.35076808342","139488.35076808342","0.007392306634591004"
"21","65","637081.6274230473","637081.6274230473","3.442008880359277E-10"
"21","54","604914.87004371","604914.87004371","6.248070291093009E-10"
"21","51","582939.1048814607","582939.1048814607","1.2398449615494682E-9"
"21","72","509966.6655772699","509966.6655772699","1.61625778579795E-8"
"21","49","563447.4243440988","563447.4243440988","2.4613741007624833E-9"
"21","43","495219.14341026783","495219.14341026783","2.71410429986133E-8"
"21","46","431372.22905513935","431372.22905513935","2.565270966700587E-7"
"21","41","380297.25215941237","380297.25215941237","1.5470372386196801E-6"
"21","38","497209.2114995453","497209.2114995453","2.5309511814649322E-8"
"21","40","278958.77831679676","278958.77831679676","5.468066554671739E-5"
"21","42","380581.1345823645","380581.1345823645","1.5316601190873462E-6"
"21","30","254803.84612481805","254803.84612481805","1.2790664776539886E-4"
"21","34","286923.3347080714","286923.3347080714","4.1318506838695525E-5"
"21","28","593354.0258564019","593354.0258564019","8.594873373786649E-10"
"21","31","359123.9340394899","359123.9340394899","3.258391766108913E-6"
"21","27","533427.5958365856","533427.5958365856","7.0769438093825E-9"
"21","26","532541.0782277737","532541.0782277737","7.301140518306308E-9"
"21","23","182617.08572858115","182617.08572858115","0.0016211491940571893"
"21","25","174244.08167854644","174244.08167854644","0.0021764705423891213"
"21","39","414493.66702037776","414493.66702037776","4.6453487555215017E-7"
"22","53","652674.4977398753","652674.4977398753","1.0688199978287042E-10"
"22","48","613313.1337253418","613313.1337253418","4.268868231577338E-10"
"22","50","631817.2204047614","631817.2204047614","2.2262782860404732E-10"
"22","39","488594.9242470697","488594.9242470697","3.426390927471621E-8"
"22","47","590122.8685621317","590122.8685621317","9.652075954892833E-10"
"22","44","460887.18793214374","460887.18793214374","9.083654261645998E-8"
"22","36","254907.82647851316","254907.82647851316","1.274396026384126E-4"
"22","33","251318.52299422692","251318.52299422692","1.445921775068453E-4"
"22","32","250297.82260339335","250297.82260339335","1.4987869897766334E-4"
"22","24","89196.41248391103","89196.41248391103","0.04336929789161927"
"22","29","24331.05012119288","24331.05012119288","0.42486387635167633"
"24","25","651842.005397013","651842.005397013","1.1017086218322927E-10"
"24","53","575458.947275997","575458.947275997","1.6132579745875897E-9"
"24","48","537060.5180051863","537060.5180051863","6.228141773221965E-9"
"24","59","625799.4886543121","625799.4886543121","2.7447986191582616E-10"
"24","50","551724.568965348","551724.568965348","3.717827580269708E-9"
"24","39","413417.4645561068","413417.4645561068","4.824600143564409E-7"
"24","47","511096.85970469343","511096.85970469343","1.5525066359200156E-8"
"24","44","382990.8615097745","382990.8615097745","1.4071629082835485E-6"
"24","36","178999.99999999953","178999.99999999953","0.002578773515298006"
"24","33","177101.66571774482","177101.66571774482","0.001968304098899442"
"24","32","175002.85711953344","175002.85711953344","0.0021191395445390076"
"24","29","21000.0","21000.0","0.47842568797135526"
"23","55","621012.8823140456","621012.8823140456","3.248211303119475E-10"
"23","54","577127.3689576666","577127.3689576666","1.5211216857587424E-9"
"23","52","632521.9363784932","632521.9363784932","2.1667025347439793E-10"
"23","51","565685.4249492369","565685.4249492369","2.2750113936684804E-9"
"23","72","502299.7113278078","502299.7113278078","2.1166251373557487E-8"
